"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"105",1.31665468934749e-103,1.18083658329959,0.485,0.188,1.79631199267678e-99,"5","Rmnd5a"
"106",2.34157210389325e-102,0.951779097581615,0.627,0.303,3.19460682134156e-98,"5","Cd8a"
"107",1.83951013214312e-96,-1.07647470662221,0.26,0.646,2.50964367328286e-92,"5","Ranbp1"
"108",4.64789756637051e-84,1.16122403192055,0.32,0.097,6.34112664979929e-80,"5","Cd4"
"109",1.74060860381971e-76,-0.975486522466651,0.34,0.658,2.37471231819122e-72,"5","2810417H13Rik"
"110",7.60934735421035e-72,1.03694177347359,0.437,0.194,1.03814325953492e-67,"5","Btg2"
"111",2.55482861868242e-71,1.13677935923207,0.168,0.031,3.48555268446843e-67,"5","Gm15340"
"112",2.6992762399209e-59,0.96309920183524,0.444,0.218,3.68262257412408e-55,"5","Ldhb"
"113",1.67077783775954e-54,-1.07284152994471,0.19,0.458,2.27944220405535e-50,"5","Rrm2"
"114",1.61355377810558e-52,0.976886942802011,0.255,0.089,2.20137141946945e-48,"5","Trp53inp1"
"115",6.28413027145904e-47,0.956914077521789,0.214,0.07,8.57343892935157e-43,"5","Lpar6"
"116",5.02790028845091e-43,0.964148195620507,0.237,0.089,6.85956436353358e-39,"5","Rag2"
"117",2.27926349095539e-37,0.967411114637832,0.187,0.065,3.10959918071044e-33,"5","Arl5c"
"118",1.25868784015027e-35,-0.999360052752624,0.13,0.326,1.71722782031702e-31,"5","Tyms"
"119",8.65933910224257e-19,-1.32213482141946,0.013,0.108,1.18139363371895e-14,"5","Ms4a4b"
"120",9.07488011607633e-11,-1.01697234293741,0.035,0.104,1.23808589423629e-06,"5","Itm2a"
"121",0,5.39140297140968,0.988,0.05,0,"6","Hba-a2"
"122",0,2.33683171615595,0.612,0.003,0,"6","Alas2"
"123",5.29506994704344e-290,1.24318761520205,0.247,0.001,7.22406392875136e-286,"6","Snca"
"124",1.13248814084499e-273,5.2123921240276,0.988,0.059,1.54505357055482e-269,"6","Hbb-bt"
"125",1.03388189475267e-249,5.59640222523577,1,0.069,1.41052506901106e-245,"6","Hba-a1"
"126",1.01767383325878e-220,1.09113437434318,0.224,0.002,1.38841241071495e-216,"6","Ube2l6"
"127",1.14362332381681e-95,0.943314333468181,0.188,0.004,1.56024530068328e-91,"6","Rsad2"
"128",6.14353826680398e-78,5.46991149507134,1,0.337,8.38162925740067e-74,"6","Hbb-bs"
"129",2.12396150025852e-43,1.24691509647471,0.388,0.05,2.8977206748027e-39,"6","Mkrn1"
"130",1.4578911892886e-42,0.992141875503118,0.118,0.004,1.98900094954643e-38,"6","Car2"
"131",5.193247405775e-33,0.8549187933048,0.2,0.018,7.08514743569883e-29,"6","Fech"
"132",7.23698550218603e-33,1.13903222656544,0.271,0.032,9.8734193206324e-29,"6","Bpgm"
"133",1.19093921359227e-12,0.79416589593352,0.318,0.09,1.62479836910393e-08,"6","Bnip3l"
"134",2.20192102295562e-09,1.07859438317093,0.494,0.226,3.00408085161835e-05,"6","Gm26924"
"135",0.000427355556538885,-0.903149958663499,0.165,0.322,1,"6","Psmb6"
